company_number,company_name,counterparty_type
BR027335,CREDITFIX LIMITED,BORROWER
11626437,FRA LTD,BORROWER
01491351,EVERGREEN LIMITED,BORROWER
07047605,KALIBRATE LIMITED,BORROWER
02259954,SEASALT LIMITED,BORROWER
SC868900,MVF LTD,BORROWER
03457006,AIR CHARTER LIMITED,BORROWER
04147420,IDENTITY LIMITED,BORROWER
05889635,WASDELL HOLDINGS LIMITED,BORROWER
14875184,BVG LTD,BORROWER
07513682,GLUCO RX LIMITED,BORROWER
05763646,AUTOVISTA LIMITED,BORROWER
03802593,PHARMACY2U LIMITED,BORROWER
01823478,ADDER TECHNOLOGY LIMITED,BORROWER
00387583,WILLERBY LIMITED,BORROWER
14101282,KEYS GROUP LIMITED,BORROWER
13277323,ACTIVE CARE AGENCY (UK) LTD,BORROWER
12057509,STOKVIS TAPES LIMITED,BORROWER
07476442,LIFETIME TRAINING LIMITED,BORROWER
12085080,APS GROUP LIMITED,BORROWER
16790031,GLOBAL AUTO LTD,BORROWER
05045017,SSS SUPER ALLOYS LIMITED,BORROWER
04021697,COOPER & TURNER LIMITED,BORROWER
08860860,ODDBALLS APPAREL LIMITED,BORROWER
08738870,ADAPTIVE FINANCE LTD,BORROWER
16707540,BIG WORLD NEOM LTD,BORROWER
00088544,HILL BISCUITS LIMITED,BORROWER
07660386,CROWDCOMMS LTD,BORROWER
16963273,BML PROPERTY GROUP 12 LTD,BORROWER
04264984,WOWCHER LIMITED,BORROWER
04261268,WHISTL LIMITED,BORROWER
05253532,DEALLUS CONSULTING LIMITED,BORROWER
11757300,AKSOT INDUSTRIALS LIMITED,BORROWER
SC736592,ADVANCED INSULATION LTD,BORROWER
05635756,CAMIRA GROUP LTD,BORROWER
SC200513,NURSEPLUS LIMITED,BORROWER
01501459,MOMENTUM LIMITED,BORROWER
05316871,GAMA HEALTHCARE LTD,BORROWER
04430278,CATALIS LIMITED,BORROWER
08316049,OONI LIMITED,BORROWER
